timestamps,TP9,AF7,AF8,TP10,Right AUX
1711168447.085,-458.496,-10.254,82.031,33.203,13.672
1711168447.089,-474.609,-10.742,79.590,21.973,55.664
1711168447.093,-548.340,-13.184,73.730,-18.555,34.668
1711168447.097,-562.500,-12.207,76.660,-49.316,19.531
1711168447.101,-422.852,-7.324,81.543,-46.387,-21.484
1711168447.105,-226.074,-3.418,81.055,-81.543,-29.785
1711168447.109,-77.148,-3.906,79.590,-102.051,36.133
1711168447.113,41.992,-7.324,71.289,-86.426,-7.324
1711168447.117,229.004,-6.348,62.012,-88.867,-27.832
1711168447.121,492.188,-10.742,55.176,-91.309,46.875
1711168447.124,638.672,-14.648,45.410,-80.078,57.129
1711168447.128,663.086,-14.160,36.621,-71.289,92.773
1711168447.132,791.992,-21.973,32.715,-75.684,83.008
1711168447.136,963.379,-25.391,18.555,-111.816,30.273
1711168447.140,-996.582,-22.461,1.953,-133.301,10.254
1711168447.144,994.629,-24.414,0.000,-112.305,-22.949
1711168447.148,-1000.000,-22.461,-29.297,-83.008,-3.906
1711168447.152,0.000,-19.531,-88.867,-83.984,47.363
1711168447.156,0.000,-25.879,-128.418,-135.254,63.477
1711168447.160,0.000,-28.809,-167.969,-212.402,26.367
1711168447.164,0.000,-28.320,-235.840,-275.391,41.016
1711168447.167,0.000,-26.367,-312.012,-327.148,69.824
1711168447.171,0.000,-21.973,-336.914,-373.047,58.105
1711168447.175,0.000,-17.578,-380.371,-460.938,48.340
1711168447.179,0.000,-22.949,-447.754,-528.809,3.418
1711168447.183,0.000,-27.832,-462.402,-539.062,-14.160
1711168447.187,0.000,-31.250,-479.492,-583.496,-8.301
1711168447.191,0.000,-35.645,-530.273,-594.238,8.789
1711168447.195,0.000,-34.180,-551.270,-582.031,24.414
1711168447.199,999.512,-29.297,-524.902,-595.215,-20.020
1711168447.203,999.512,-26.855,-490.723,-590.820,32.227
1711168447.207,999.512,-23.926,-443.848,-573.242,56.641
1711168447.210,999.512,-16.602,-401.367,-541.504,51.270
1711168447.214,999.512,-7.812,-356.445,-458.984,48.340
1711168447.218,999.512,3.418,-309.570,-383.789,65.918
1711168447.222,999.512,10.742,-265.137,-322.754,30.762
1711168447.226,999.512,10.742,-215.820,-235.352,-13.672
1711168447.230,999.512,8.789,-177.246,-146.973,31.738
1711168447.234,999.512,7.324,-146.484,-83.008,25.879
1711168447.238,999.512,2.930,-119.141,-5.371,-7.324
1711168447.242,999.512,-0.488,-97.168,49.316,-30.762
1711168447.246,0.000,-6.348,0.000,71.289,-2.930
1711168447.249,0.000,-5.371,0.000,105.469,-6.348
1711168447.253,0.000,-2.930,0.000,141.602,-17.578
1711168447.257,0.000,-1.953,0.000,187.500,9.277
1711168447.261,0.000,0.488,0.000,214.355,26.367
1711168447.265,0.000,2.441,0.000,220.703,25.391
1711168447.269,0.000,2.930,0.000,233.398,-0.488
1711168447.273,0.000,-4.395,0.000,242.188,0.000
1711168447.277,0.000,-7.812,0.000,231.934,27.832
1711168447.281,0.000,-8.301,0.000,210.938,15.625
1711168447.285,0.000,-17.090,0.000,208.984,25.879
1711168447.289,0.000,-22.461,0.000,208.984,45.410
1711168447.292,999.512,-20.508,19.531,170.898,62.012
1711168447.296,999.512,-21.973,28.809,151.367,25.879
1711168447.300,999.512,-24.902,34.180,181.152,2.441
1711168447.304,999.512,-23.926,38.574,226.074,18.555
1711168447.308,999.512,-22.461,47.363,244.141,1.953
1711168447.312,999.512,-24.902,50.293,237.305,9.277
1711168447.316,999.512,-25.879,53.711,223.633,41.992
1711168447.320,999.512,-25.879,61.035,218.750,53.223
1711168447.324,999.512,-23.438,67.871,212.891,26.855
1711168447.328,999.512,-22.461,74.707,205.078,60.059
1711168447.332,999.512,-22.461,61.523,211.426,64.941
1711168447.335,998.535,-18.555,20.508,227.539,53.223
1711168447.339,-999.023,-11.719,16.602,280.762,70.801
1711168447.343,995.605,-9.766,5.371,298.340,-21.484
1711168447.347,985.352,-3.906,-32.715,297.852,-2.930
1711168447.351,997.559,12.207,-30.273,251.465,92.773
1711168447.355,-999.512,22.949,-19.531,196.289,39.551
1711168447.359,998.535,28.320,-8.789,200.195,-38.086
1711168447.363,999.512,31.738,10.742,197.266,-19.531
1711168447.367,999.512,24.414,19.043,165.527,10.742
1711168447.371,999.512,14.648,18.555,156.250,2.930
1711168447.374,999.512,13.184,26.367,154.785,21.973
1711168447.378,999.512,8.301,25.391,132.812,18.066
